SystematicID,Gene,Product,S.cerevisiae_ortholog,Human_ortholog,RG_CLS,Validated/Group,ValidationCLS
SPBC16C6.03c,rsa1,ribosome assembly protein Rsa1 (predicted),RSA1,NUFIP1,short,no,
SPBC16C6.04,dbl6,double strand break localizing protein Dbl6,,,NA,no,
SPBC16C6.05,tma22,translation machinery associated protein ortholog Tma22 (predicted),TMA22,DENR,long,no,
SPBC16C6.06,vps10,"sorting receptor for vacuolar proteins, Vps10","PEP1,VTH1,VTH2,YNR065C","SORL1,SORT1,SORCS2,SORCS3",NA,no,
SPBC16C6.08c,qcr6,"ubiquinol-cytochrome-c reductase complex subunit 8, hinge protein (predicted)",QCR6,UQCRH,NA,no,
SPBC16C6.09,ogm4,protein O-mannosyltransferase Ogm4,PMT4,POMT1,NA,no,
SPBC16C6.10,chp2,heterochromatin (HP1) family chromodomain protein Chp2,,"CBX1,CBX3,CBX5",NA,no,
SPBC16C6.11,rpl3201,60S ribosomal protein L32,RPL32,RPL32,NA,no,
SPBC16D10.01c,,"TPR repeat protein, conserved fungal protein",ACL4,,NA,no,
SPBC16D10.02,trm11,tRNA (guanine-N2-)-methyltransferase catalytic subunit Trm11 (predicted),TRM11,TRMT11,NA,no,
SPBC16D10.05,mok13,"alpha-1,3-glucan synthase Mok13",,,NA,no,
SPBC16D10.07c,sir2,Sirtuin family histone deacetylase Sir2,"SIR2,HST1",SIRT1,NA,no,
SPBC16D10.08c,hsp104,heat shock protein Hsp104,HSP104,CLPB,NA,no,
SPBC16D10.11c,rps1801,40S ribosomal protein S18 (predicted),"RPS18A,RPS18B",RPS18,NA,no,
SPBC16E9.02c,,"CUE domain protein, human TOLLIP ortholog","DON1,CUE5",TOLLIP,NA,no,
SPBC16E9.03c,coa1,cytochrome c oxidase assembly protein Coa1 (predicted),COA1,COA1,NA,no,
SPBC16E9.06c,uvi31,mitochondrial [4Fe-4S] cluster transfer protein Uvi31 (predicted),BOL1,BOLA1,NA,no,
SPBC16E9.07,mug100,Schizosaccharomyces pombe specific protein Mug100,,,NA,no,
SPBC16E9.08,mcp4,prospore membrane protein Mcp4/Mug101,,,NA,no,
SPBC16E9.09c,erp5,COPII vesicle coat component Erp5/Erp6 (predicted),"ERP6,ERP5","TMED4,TMED9",NA,no,
SPBC16E9.11c,pub3,HECT-type ubiquitin-protein ligase E3 Pub3 (predicted),RSP5,"NEDD4,NEDD4L",long,yes:Bar_seqTopL,long
SPBC16E9.12c,pab2,poly(A) binding protein Pab2,SGN1,"PABPN1L,PABPN1",NA,no,
SPBC16E9.13,ksp1,serine/threonine protein kinase Ksp1 (predicted),KSP1,,short,no,
SPBC16E9.14c,zrg17,"Golgi zinc importer, CDF family, Zrg17",ZRG17,,NA,no,
SPBC16E9.15,,"heat shock factor binding protein, implicated in trancriptional response to stress (predicted)",,"HSBP1L1,HSBP1",NA,no,
SPBC16E9.16c,lsd90,Lsd90 protein,,,NA,no,
SPBC16E9.17c,rem1,meiosis-specific cyclin Rem1,"CLB3,CLB4","CCNB1,CCNB2,CCNB3",NA,no,
SPBC16E9.18,psd1,phosphatidylserine decarboxylase Psd1,PSD1,PISD,NA,no,
SPBC16E9.19,,proteasome assembly chaperone 3 (predicted),,PSMG3,long,yes:Bar_seqUnexplored.L,long*
SPBC16G5.02c,rbk1,ribokinase Rbk1 (predicted),RBK1,RBKS,NA,no,
SPBC16G5.03,mrz1,"ubiquitin-protein ligase E3/SUMO transferase, Topors, possibly associated with DNA damage (predicted)",,,NA,no,
SPBC16G5.05c,scs2,VAP family protein Scs2,"SCS22,SCS2","VAPA,VAPB",NA,no,
SPBC16G5.06,,Schizosaccharomyces specific protein,,,NA,no,
SPBC16G5.07c,,stomatin (predicted),,STOML2,NA,no,
SPBC16G5.09,kex1,Golgi serine carboxypeptidase (predicted),KEX1,CTSA,NA,no,
SPBC16G5.11c,bag101,BAG family molecular chaperone regulator Bag101 (predicted),SNL1,BAG1,NA,no,
SPBC16G5.13,ptf2,Mst2 histone acetytransferase acytyltransferase complex subunit,,,long,no,
SPBC16G5.15c,fkh2,forkhead transcription factor Fkh2,"FKH1,FKH2",,NA,no,
SPBC16G5.16,,"transcription factor, zf-fungal binuclear cluster type (predicted)",,,NA,no,
SPBC16G5.17,,"transcription factor, zf-fungal binuclear cluster type (predicted)",,,NA,no,
SPBC16H5.03c,uba2,SUMO activating enzyme E1-type Uba2,UBA2,UBA2,NA,no,
SPBC16H5.04,snd301,SRP-independent ER targeting protein Snd3a (predicted),PHO88,,NA,no,
SPBC16H5.05c,cyp7,cyclophilin family peptidyl-prolyl cis-trans isomerase Cyp7 (predicted),CWC27,CWC27,NA,no,
SPBC16H5.07c,ppa2,serine/threonine protein phosphatase Ppa2,"PPH21,PPH22","PPP2CA,PPP2CB",NA,no,
SPBC16H5.08c,,"ribosome biogenesis ATPase, Arb family ABCF2-like (predicted)",ARB1,ABCF2,short,no,
SPBC16H5.11c,skb1,type II protein arginine N-methyltransferase Skb1,HSL7,PRMT5,NA,no,
SPBC16H5.12c,,DUF2433 metallo phosphatase superfamily conserved fungal protein,,,short,no,
SPBC16H5.13,wdr7,"WD repeat protein, human WDR7 ortholog",,"WDR7,WDR72",short,no,
SPBC16H5.14c,,"short chain dehydrogenase DHRS3 family, implicated in lipid (isoprenoid) metabolism","YDL114W,TDA5",DHRS3,NA,no,
SPBC1703.03c,syo2,"armadillo repeat protein, involved in nucleocytoplasmic transport Syo2 (predicted)",SYO1,HEATR3,NA,no,
SPBC1703.04,mlh1,MutL family protein Mlh1 (predicted),MLH1,MLH1,NA,no,
SPBC1703.06,pof10,F-box/WD repeat protein Pof10,UFO1,"FBXO24,FBXW2,FBXW7",NA,no,
SPBC1703.08c,,5-formyltetrahydrofolate cyclo-ligase (predicted),FAU1,MTHFS,NA,no,
SPBC1703.11,opa3,mitochondrial outer membrane lipid metabolism regulator Opa3,,OPA3,NA,no,
SPBC1703.12,ubp9,ubiquitin C-terminal hydrolase Ubp9,"UBP13,UBP9","USP46,USP12",NA,no,
SPBC1703.13c,,"mitochondrial carrier, inorganic phosphate (predicted)","PIC2,MIR1",SLC25A3,NA,no,
SPBC1703.14c,top1,DNA topoisomerase I,TOP1,"TOP1,TOP1MT",NA,no,
SPBC1706.01,tea4,tip elongation aberrant protein Tea4,BUD14,NCKIPSD,long,no,
SPBC1706.03,fzo1,"mitofusin, mitochondrial dynamin family fusion GTPase protein (predicted)",FZO1,"MFN2,MFN1",NA,no,
SPBC1709.01,chs2,chitin synthase homolog Chs2,"CHS2,CHS1",,NA,no,
SPBC1709.04c,cyp3,cyclophilin family peptidyl-prolyl cis-trans isomerase Cyp3,,PPIH,NA,no,
SPBC1709.05,sks2,"heat shock protein, ribosome associated molecular chaperone Sks2","SSB1,SSB2","HSPA1A,HSPA1B,HSPA1L,HSPA2,HSPA5,HSPA6,HSPA8",short,no,
SPBC1709.06,dus2,tRNA dihydrouridine synthase Dus2 (predicted),SMM1,DUS2,NA,no,
SPBC1709.09,rrf1,mitochondrial translation termination factor Rrf1,RRF1,MRRF,NA,no,
SPBC1709.11c,png2,ING family histone acetyltransferase complex PHD-type zinc finger subunit Png2,"YNG2,PHO23,YNG1","ING3,ING5,ING4,ING2",NA,no,
SPBC1709.13c,set10,ribosomal lysine methyltransferase Set10,"EFM1,RKM1",SETD3,NA,no,
SPBC1709.14,ngl1,peptide N-glycanase Ngl1,PNG1,NGLY1,NA,no,
SPBC1709.16c,,aromatic ring-opening dioxygenase (predicted),,,NA,no,
SPBC1709.18,tif452,"translation initiation factor eIF4E, 4F complex E subunit isoform 2, stress response factor",CDC33,"EIF4E,EIF4E1B",NA,no,
SPBC1709.19c,nfu1,mitochondrial [4Fe-4S] cluster transfer protein Nfu1 (predicted),NFU1,NFU1,NA,no,
SPBC1711.03,emc3,ER membrane protein complex subunit Emc3 (predicted),EMC3,EMC3,short,no,
SPBC1711.04,mtd1,methylenetetrahydrofolate reductase Mtd1 (predicted),MTD1,,NA,no,
SPBC1711.05,srp40,nucleocytoplasmic transport chaperone Srp40 (predicted),SRP40,NOLC1,short,no,
SPBC1711.06,rpl401,60S ribosomal protein L4 (predicted),"RPL4A,RPL4B",RPL4,NA,no,
SPBC1711.08,aha1,chaperone activator Aha1,AHA1,AHSA1,NA,no,
SPBC1711.09c,,SNARE associated Golgi protein (predicted),TVP38,TMEM64,NA,no,
SPBC1711.11,atg2402,autophagy associated protein Atg24c,SNX4,"SNX4,SNX7,SNX30",NA,no,
SPBC1711.12,ppp16,serine-type peptidase activity,,,NA,no,
SPBC1711.13,his2,histidinol dehydrogenase His2 (predicted),HIS4,,NA,yes:Observational.L12,short
SPBC1711.14,rec15,meiotic recombination protein Rec15,,,NA,no,
SPBC1711.15c,,Schizosaccharomyces pombe specific protein,,,NA,no,
SPBC1718.01,pop1,cullin 1 adaptor protein Pop1,CDC4,"FBXO24,FBXW2,FBXW7",NA,no,
SPBC1718.02,hop1,linear element associated protein Hop1,HOP1,"HORMAD1,HORMAD2",NA,no,
SPBC1718.03,ker1,DNA-directed RNA polymerase I complex subunit Ker1,RPA14,,short,no,
SPBC1718.07c,zfs1,"zf-CCCH tandem zinc finger protein, human Tristetraprolin homolog Zfs1, involved in mRNA catabolism","CTH1,TIS11","ZFP36L1,ZFP36L2,ZFP36",short,no,
SPBC1734.04,anp1,"mannosyltransferase complex subunit, Anp family (predicted)","ANP1,VAN1",,NA,no,
SPBC1734.05c,spf31,"DNAJ protein, splicing factor Spf31 (predicted)",,DNAJC8,NA,no,
SPBC1734.06,rhp18,"Rad18 homolog ubiquitin protein ligase E3, Rhp18",RAD18,RAD18,NA,no,
SPBC1734.07c,trs8502,TRAPP complex subunit Trs85b (predicted),TRS85,TRAPPC8,NA,no,
SPBC1734.08,hse1,STAM like protein Hse1,HSE1,"STAM,STAM2",NA,no,
SPBC1734.09,yea4,ER UDP-N-acetylglucosamine transmembrane transporter (predicted),YEA4,SLC35B4,NA,no,
SPBC1734.12c,alg12,"dolichyl pyrophosphate Man7GlcNAc2 alpha-1,6-mannosyltransferase Alg12 (predicted)",ALG12,ALG12,long,no,
SPBC1734.13,atp3,F1-FO ATP synthase gamma subunit (predicted),ATP3,ATP5F1C,NA,no,
SPBC1734.15,rsc4,RSC complex subunit Rsc4,RSC4,PBRM1,NA,no,
SPBC1773.01,far8,"SIP/FAR complex WD repeat (scaffold) subunit, striatin, Far8/Csc3",FAR8,"STRN,STRN3,STRN4",NA,no,
SPBC1773.02c,bcp1,thioredoxin peroxidase Bcp1,DOT5,,NA,no,
SPBC1773.03c,,"aminotransferase class-III, possible transaminase, unknown specificity",,,NA,no,
SPBC1773.04,,methylglyoxyl reductase (NADPH-dependent) (predicted),"YDR541C,YGL039W,ARI1,GRE2",,NA,no,
SPBC1773.05c,tms1,hexitol dehydrogenase (predicted),"SOR2,SOR1,XYL2",SORD,NA,no,
SPBC1773.06c,adh8,alcohol dehydrogenase (predicted),,,NA,no,
SPBC1773.08c,omh4,"alpha-1,2-mannosyltransferase Omh4 (predicted)","KTR7,KTR5",,NA,no,
SPBC1773.09c,mug184,"DNAJ domain protein, exocytosis associated Mug184 (predicted)",JJJ2,"DNAJC5,DNAJC5B,DNAJC5G",NA,no,
SPBC1773.12,,"transcription factor, zf-fungal binuclear cluster type (predicted)",,,NA,no,
SPBC1773.13,,aromatic aminotransferase (predicted),"ARO8,ARO9",AADAT,NA,no,
SPBC1773.15,dal52,dipeptide transmembrane transporter Dal5h2 (predicted),"DAL5,THI73","SLC17A1,SLC17A2,SLC17A3,SLC17A4,SLC17A5,SLC17A6,SLC17A7,SLC17A8",NA,no,
SPBC1773.16c,,"transcription factor, zf-fungal binuclear cluster type(predicted)",,,NA,no,
SPBC1773.17c,gor2,glyoxylate reductase (predicted),GOR1,GRHPR,NA,no,
SPBC1778.03c,,NADH pyrophosphatase (predicted),NPY1,NUDT12,NA,no,
SPBC1778.04,spo6,Spo4-Spo6 kinase complex regulatory subunit Spo6,DBF4,"DBF4,DBF4B",NA,no,
SPBC1778.05c,lam2,"Ragulator complex subunit, human LAMTOR2 ortholog",,LAMTOR2,short,no,
SPBC1778.06c,fim1,fimbrin,SAC6,"LCP1,PLS1,PLS3",NA,no,
SPBC1778.07,,"methyltransferase, human CARNMT1 ortholog","YMR209C,YNL092W",CARNMT1,NA,no,
SPBC1778.09,,GTPase activating protein (predicted),,USP6NL,NA,no,
SPBC1778.10c,ppk21,serine/threonine protein kinase Ppk21 (predicted),"PKH1,PKH2",PDPK1,NA,no,
SPBC17A3.02,aim19,mitochondrial conserved fungal membrane protein Aim19,AIM19,,NA,no,
SPBC17A3.05c,,"DNAJ/DUF1977, human DNAJB12 homolog, Hsp70 co-chaperone (predicted)",,"DNAJB12,DNAJB14",short,no,
SPBC17A3.06,,phosphoprotein phosphatase (predicted),YVH1,DUSP12,long,no,
SPBC17A3.08,,TatD homolog (predicted),YBL055C,TATDN1,NA,no,
SPBC17A3.09c,aim22,lipoate-protein ligase A (predicted),AIM22,LIPT1,short,no,
SPBC17A3.10,pas4,peroxisomal ubiquitin-protein ligase E3 involved in peroxisome organization and biogenesis (predicted),PEX10,PEX10,short,no,
SPBC17D1.02,dph2,diphthamide biosynthesis protein Dph2 (predicted),DPH2,DPH2,short,no,
SPBC17D1.05,,Schizosaccharomyces specific protein,,,NA,no,
SPBC17D1.06,dbp3,ATP-dependent RNA helicase Dbp3 (predicted),DBP3,"DDX17,DDX5",NA,no,
SPBC17D1.07c,npg1,GTPase regulator Rng2-like (predicted),IQG1,"IQGAP1,IQGAP2",NA,no,
SPBC17D11.01,nep1,NEDD8 protease Nep1,,SENP8,NA,no,
SPBC17D11.02c,hrd1,"Hrd1 complex ubiquitin-protein ligase E3 subunit, Hrd1",HRD1,SYVN1,NA,no,
SPBC17D11.03c,,carboxymuconolactone decarboxylase-like protein,PXP2,,NA,no,
SPBC17D11.04c,nto1,histone acetyltransferase complex PHD finger subunit Nto1 (predicted),NTO1,"BRD1,BRPF1,BRPF3",long,no,
SPBC17D11.08,dca7,"WD repeat protein, DDB1 and CUL4-associated factor Dca7 (predicted)",YPL247C,DCAF7,NA,no,
SPBC17F3.01c,rga5,"RhoGAP, GTPase activating protein Rga5","SAC7,BAG7","ARHGAP24,ARHGAP25,ARHGAP22",NA,no,
SPBC17G9.02c,cdc73,"RNA polymerase II accessory factor, Cdc73 family (predicted)",CDC73,CDC73,NA,no,
SPBC17G9.05,rct1,"cyclophilin family peptidyl-prolyl cis-trans isomerase, RRM-containing Rct1",,PPIL4,NA,no,
SPBC17G9.07,rps2402,40S ribosomal protein S24 (predicted),"RPS24A,RPS24B",RPS24,NA,no,
SPBC17G9.08c,cnt5,Centaurin Cnt5,,"ACAP1,ACAP2,ACAP3",NA,no,
SPBC17G9.09,tif213,translation initiation factor eIF2 gamma subunit,GCD11,EIF2S3,NA,no,
SPBC17G9.10,rpl1102,60S ribosomal protein L11 (predicted),"RPL11B,RPL11A",RPL11,long,yes:Bar_seqLong,long
SPBC17G9.12c,,"HAD superfamily hydrolase, unknown role (predicted)",CTO1,,NA,no,
SPBC1815.01,eno101,enolase (predicted),"ENO1,ENO2,ERR3,ERR1,ERR2","ENO1,ENO2,ENO3",NA,no,
SPBC1861.01c,cnp3,CENP-C ortholog Cnp3,MIF2,CENPC,NA,no,
SPBC1861.02,abp2,"unknown protein, may bind replication origins Abp2",,,short,no,
SPBC1861.03,mak10,NatC N-acetyltransferase complex subunit Mak10 (predicted),MAK10,NAA35,NA,no,
SPBC1861.05,,bifunctional pseudouridylate synthase/pseudouridine kinase (predicted),,,short,no,
SPBC1861.06c,mug131,UPF0300 family protein 4,,,NA,no,
SPBC1861.07,,elongin C (predicted),ELC1,ELOC,NA,no,
SPBC1861.09,ppk22,serine/threonine protein kinase Ppk22 (predicted),"KIN82,FPK1",,NA,no,
SPBC18A7.01,xpa1,X-Pro dipeptidase (predicted),,"XPNPEP1,XPNPEP2",NA,no,
SPBC18E5.01,,"unknown with similarity to bacterial carboxy-cis,cis-muconate cyclase",,,NA,no,
SPBC18E5.05c,elp5,elongator complex subunit Elp5 (predicted),IKI1,ELP5,short,no,
SPBC18E5.07,aim21,barbed end F-actin assembly inhibitor,AIM21,,NA,yes:Observational.L12,long
SPBC18E5.08,,N-acetyltransferase (predicted),,,NA,no,
SPBC18E5.10,,mitochondrial iron-sulfur cluster protein (predicted),,NDUFV1,NA,no,
SPBC18E5.11c,edc3,enhancer of mRNA decapping Edc3,EDC3,EDC3,NA,no,
SPBC18E5.14c,,Schizosaccharomyces specific protein,,,NA,no,
SPBC18H10.02,lcf1,long-chain-fatty-acid-CoA ligase Lcf1,"FAA3,FAA4,FAA1","ACSL3,ACSL4",NA,no,
SPBC18H10.04c,sce3,translation initiation factor (predicted),TIF3,EIF4B,short,no,
SPBC18H10.05,,"WD repeat protein, human WDR44 family","DGR2,YMR102C",WDR44,NA,no,
SPBC18H10.06c,swd2,Set1C complex subunit Swd2.1,SWD2,WDR82,NA,no,
SPBC18H10.07,wbp4,WW domain-binding protein Wbp4 (predicted),,WBP4,short,no,
SPBC18H10.08c,ubp4,ubiquitin C-terminal hydrolase Ubp4,"DOA4,UBP5",USP8,NA,no,
SPBC18H10.09,,zf-CHY type zinc finger protein,,,NA,no,
SPBC18H10.10c,saf4,splicing associated factor Saf4,,CCDC130,NA,no,
SPBC18H10.11c,ppr2,mitochondrial PPR repeat protein Ppr2,,,long,no,
SPBC18H10.13,rps1402,40S ribosomal protein S14 (predicted),"RPS14A,RPS14B",RPS14,NA,no,
SPBC18H10.14,rps1601,40S ribosomal protein S16 (predicted),"RPS16B,RPS16A",RPS16,NA,no,
SPBC18H10.15,cdk11,serine/threonine protein kinase Cdk11,,CDK11B,NA,no,
SPBC18H10.16,can1,plasma membrane arginine/lysine transmembrane transporter Can1,VHC1,SLC12A9,NA,no,
SPBC18H10.18c,,Schizosaccharomyces specific protein,,,NA,no,
SPBC18H10.19,vps38,phophatidylinositol 3-kinase complex subunit Vps38,VPS38,UVRAG,NA,no,
SPBC18H10.20c,any1,arrestin-related endocytic adaptor Any1,LDB19,,NA,no,
SPBC1921.01c,rpl35b,60S ribosomal protein L35a (predicted),"RPL33B,RPL33A",RPL35A,NA,no,
SPBC1921.03c,mex67,"mRNA export receptor, Tap, nucleoporin Mex67",MEX67,"NXF1,NXF3",NA,no,
SPBC1921.04c,,dubious,,,long,no,
SPBC1921.05,ape2,M1 aminopeptidase Ape2,"AAP1,TMA108,APE2",NPEPPS,NA,no,
SPBC1921.06c,pvg3,Golgi galactosylxylosylprotein 3-beta-galactosyltransferase Pvg3,,B3GALNT2,NA,no,
SPBC1921.07c,sgf29,SAGA complex subunit Sgf29,SGF29,SGF29,short,no,
SPBC19C2.02,pmt1,tRNA (cytosine-5-)-methyltransferase Pmt1,,TRDMT1,NA,no,
SPBC19C2.04c,ubp11,ubiquitin C-terminal hydrolase Ubp11,,,NA,no,
SPBC19C2.09,sre1,"sterol regulatory element binding protein, transcription factor Sre1",,SREBF1,NA,no,
SPBC19C2.10,,"BAR adaptor protein, human endophilin-A2 ortholog, implicated in endocytosis",,SH3GL1,NA,no,
SPBC19C2.13c,ctu2,cytosolic thiouridylase subunit Ctu2,NCS2,CTU2,NA,no,
SPBC19C2.14,smd3,Sm snRNP core protein Smd3,SMD3,SNRPD3,short,no,
SPBC19C7.01,mni1,"exon-exon junction complex disassembly factor, human partner of Y14 and mago ortholog (predicted)",,PYM1,NA,no,
SPBC19C7.02,ubr1,"N-end-recognizing protein, UBR ubiquitin-protein ligase E3 Ubr1","UBR1,UBR2","UBR1,UBR2",short,no,
SPBC19C7.04c,,DUF2406 family conserved fungal protein,"YGR273C,YMR295C",,NA,no,
SPBC19C7.05,,vesicle-mediated transport protein (predicted),"RCR1,RCR2",,NA,no,
SPBC19C7.08c,ppm2,tRNA methyltransferase Ppm2 (predicted),PPM2,LCMT2,NA,no,
SPBC19C7.09c,uve1,endonuclease Uve1,,,NA,no,
SPBC19C7.10,bqt4,bouquet formation protein Bqt4,,,NA,no,
SPBC19C7.11,,plasma membrane ClC chloride channel (predicted),GEF1,"CLCN3,CLCN4,CLCN5,CLCN6,CLCN7",NA,no,
SPBC19C7.12c,omh1,"alpha-1,2-mannosyltransferase Omh1","KTR4,KTR3,KRE2,YUR1,KTR2,KTR1,KTR6",,NA,no,
SPBC19F5.01c,puc1,cyclin Puc1,,,NA,no,
SPBC19F8.01c,spn7,meiotic septin Spn7,,,NA,no,
SPBC19F8.02,nud3,nuclear distribution protein NUDC homolog,,NUDC,NA,no,
SPBC19F8.03c,yap18,ENTH/VHS domain protein (predicted),"YAP1802,YAP1801","SNAP91,PICALM",NA,no,
SPBC19F8.04c,lcl3,"mitochondrial nuclease Lcl3, implicated in DNA repair (predicted)",LCL3,,NA,no,
SPBC19F8.08,rps401,40S ribosomal protein S4 (predicted),"RPS4B,RPS4A","RPS4X,RPS4Y1,RPS4Y2",NA,no,
SPBC19G7.01c,msh2,MutS protein homolog 2,MSH2,MSH2,NA,no,
SPBC19G7.02,abz2,4-amino-4-deoxychorismate lyase Abz2 (predicted),ABZ2,,NA,no,
SPBC19G7.03c,rps3002,40S ribosomal protein S30 (predicted),"RPS30A,RPS30B",FAU,short,no,
SPBC19G7.04,,HMG box protein,FYV8,GCNA,NA,no,
SPBC19G7.06,mbx1,MADS-box transcription factor Mbx1,"ARG80,MCM1","MEF2A,MEF2B,MEF2C,MEF2D",NA,no,
SPBC19G7.07c,ppr3,mitochondrial PPR repeat protein Ppr3,CCM1,,short,no,
SPBC19G7.08c,art1,arrestin family protein Art1,,,NA,no,
SPBC19G7.10c,pdc2,topoisomerase II-associated deadenylation-dependent mRNA-decapping factor Pdc2 (predicted),PAT1,PATL1,NA,no,
SPBC19G7.16,iws1,transcription elongation factor complex subunit Iws1 (predicted),SPN1,IWS1,NA,no,
SPBC19G7.17,sec6102,translocon subunit Sec61 homolog (predicted),SSH1,"SEC61A2,SEC61A1",NA,no,
SPBC19G7.18c,,Schizosaccharomyces specific protein,,,NA,no,
SPBC1A4.02c,leu1,3-isopropylmalate dehydrogenase Leu1,LEU2,IDH3G,short,no,
SPBC1A4.03c,top2,DNA topoisomerase II,TOP2,"TOP2A,TOP2B",NA,no,
SPBC1A4.04,,Schizosaccharomyces specific protein,,,short,no,
SPBC1A4.05,blt1,ubiquitin domain-like protein Blt1,,,short,no,
SPBC1A4.09,pus7,tRNA/snRNA/rRNA pseudouridine synthase Pus7 (predicted),PUS7,PUS7L,NA,no,
SPBC1D7.01,gim6,prefoldin subunit 1 (predicted),PFD1,PFDN1,NA,no,
SPBC1D7.03,clg1,cyclin-like protein involved in autophagy Clg1 (predicted),CLG1,,long,no,
SPBC1D7.05,byr2,MAP kinase kinase kinase Byr2,STE11,"MAP3K2,MAP3K3",NA,no,
SPBC1E8.02,,ER ubiquitin family protein (predicted),,"HERPUD1,HERPUD2",NA,no,
SPBC20F10.02c,,"DUF1741 family protein, human C10orf76 ortholog",,ARMH3,NA,no,
SPBC20F10.03,,"Armadillo-type fold protein, human IFRD1 ortholog, implicated in transcription or signaling",,IFRD1,NA,no,
SPBC20F10.05,nrl1,"RNAi-mediated silencing protein, human NRDE2 ortholog Nrl1",,NRDE2,long,no,
SPBC20F10.06,mad2,mitotic spindle checkpoint protein Mad2,MAD2,MAD2L1,NA,no,
SPBC20F10.07,ltc1,GRAM domain membrane contact site protein Ltc1,"YSP2,LAM5,LAM4,LAM6","GRAMD1C,GRAMD1B,GRAMD1A",NA,no,
SPBC20F10.10,psl1,cyclin pho85 family Psl1 (predicted),"PCL6,PCL7","CCNYL2,CNPPD1",long,no,
SPBC21.05c,ral2,Ras1-Scd pathway protein Ral2,MDS3,,NA,no,
SPBC21.07c,ppk24,serine/threonine protein kinase Ppk24,"PTK2,PTK1",,NA,no,
SPBC211.06,gfh1,gamma tubulin complex subunit Gfh1,,TUBGCP4,NA,no,
SPBC215.01,,GTPase activating protein (predicted),MDR1,"TBC1D9,TBC1D8B,TBC1D9B",NA,no,
SPBC215.02,bob1,prefoldin subunit 5 (predicted),GIM5,PFDN5,long,no,
SPBC215.03c,csn1,COP9/signalosome complex subunit Csn1,,GPS1,NA,no,
SPBC215.04,git11,heterotrimeric G protein gamma subunit Git11,,,long,yes:Bar_seqTopL,long
SPBC215.05,gpd1,glycerol-3-phosphate dehydrogenase Gpd1,GPD1,"GPD1L,GPD1",short,no,
SPBC215.06c,,"nucleolar RNA-binding protein, human LYAR homolog, implicated in transcriptional regulation",YCR087C-A,LYAR,NA,no,
SPBC215.07c,pdp2,PWWP domain protein Pdp2 (predicted),PDP3,,NA,no,
SPBC215.08c,arg4,arginine specific carbamoyl-phosphate synthase Arg4,CPA2,"CAD,CPS1",short,no,
SPBC215.10,odr1,"HAD superfamily hydrolase, unknown role",,,NA,no,
SPBC215.11c,,"aldo/keto reductase, unknown biological role",,,NA,no,
SPBC215.13,mtl3,plasma membrane-associated serine-rich cell wall sensor Mtl1/Mtl3,,,NA,no,
SPBC215.14c,vps20,ESCRT III complex subunit Vps20,VPS20,CHMP6,NA,no,
SPBC216.01c,psy2,protein phosphatase PP4 complex regulatory subunit 3 Psy2 (predicted),PSY2,"PPP4R3A,PPP4R3B",short,no,
SPBC216.02,num1,cortical anchoring factor for dynein Mcp5/Num1,NUM1,,NA,no,
SPBC216.03,,NADP binding superfamily conserved fungal protein,YMR090W,,short,no,
SPBC216.04c,mxr2,peptide-methionine (R)-S-oxide reductase MsrB,MXR2,"MSRB2,MSRB3",NA,no,
SPBC216.05,rad3,ATR checkpoint kinase Rad3,MEC1,ATR,NA,no,
SPBC21B10.02,,conserved fungal protein,,,NA,no,
SPBC21B10.03c,ath1,ataxin-2 homolog,PBP1,"ATXN2,ATXN2L",short,no,
SPBC21B10.06c,inp2,myosin binding vezatin family protein involved in peroxisome inheritance Inp2 (predicted),INP2,VEZT,NA,no,
SPBC21B10.07,,glycosyl hydrolase family (predicted),"UTR2,CRH1,CRR1",,NA,no,
SPBC21B10.08c,,antibiotic biosynthesis monooxygenase-like domain (predicted),,,NA,no,
SPBC21B10.10,rps402,40S ribosomal protein S4 (predicted),"RPS4B,RPS4A","RPS4X,RPS4Y1,RPS4Y2",long,no,
SPBC21B10.12,rec6,meiotic recombination protein Rec6,,,NA,no,
SPBC21B10.13c,yox1,MBF complex corepressor Yox1,"YHP1,YOX1",,short,no,
SPBC21C3.01c,vps1301,chorein homolog Vps13a (predicted),VPS13,"VPS13A,VPS13C",NA,no,
SPBC21C3.02c,dep1,Sds3-like family protein Dep1,DEP1,"BRMS1,BRMS1L,SUDS3",NA,no,
SPBC21C3.03,,"mitochondrial membrane ABC1 kinase family protein, unknown role, human ADCK2 ortholog",YPL109C,ADCK2,NA,no,
SPBC21C3.06,,Schizosaccharomyces specific protein,,,NA,no,
SPBC21C3.07c,trm140,tRNA (cytosine) methyltransferase Trm140 (predicted),ABP140,"METTL2B,METTL2A,METTL8",NA,no,
SPBC21C3.08c,car2,ornithine transaminase Car2,CAR2,OAT,NA,no,
SPBC21C3.09c,oaa1,mitochondrial acylpyruvase Oaa1 (predicted),FMP41,FAHD1,NA,no,
SPBC21C3.11,ubx4,UBX domain protein Ubx4 (predicted),UBX4,ASPSCR1,NA,no,
SPBC21C3.12c,,"thioredoxin family protein, peroxidase",,TXNDC17,NA,no,
SPBC21C3.14c,,chromatin binding protein ortholog,,"MBD5,MBD6",NA,no,
SPBC21C3.15c,,"aldehyde dehydrogenase, implicated in cellular detoxification (predicted)",MSC7,,NA,no,
SPBC21C3.17c,psg1,ER membrane DUF4448 family conserved fungal protein Psg1,YKL077W,,NA,no,
